code,pnns_groups_1,pnns_groups_2,countries_en,countriesgroups
3.27E+12,Beverages,Non-sugared beverages,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Fruits,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,Belgium,FrBeNeLux
3.27E+12,Salty snacks,Appetizers,France,FrBeNeLux
3.27E+12,Sugary snacks,Chocolate products,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Fish and seafood,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Fat and sauces,Fats,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Beverages,Fruit juices,France,FrBeNeLux
3.26E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Sugary snacks,Chocolate products,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Fruits,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Fish and seafood,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Sugary snacks,Sweets,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Bread,France,FrBeNeLux
3.27E+12,Beverages,Fruit juices,France,FrBeNeLux
3.27E+12,Beverages,Non-sugared beverages,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.26E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Beverages,Fruit juices,France,FrBeNeLux
3.27E+12,Sugary snacks,Sweets,France,FrBeNeLux
3.27E+12,Sugary snacks,Sweets,France,FrBeNeLux
3.27E+12,Sugary snacks,Sweets,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Beverages,Non-sugared beverages,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Bread,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Bread,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Breakfast cereals,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fruits and vegetables,vegetables,France,FrBeNeLux
3.27E+12,Milk and dairy products,Dairy desserts,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Sugary snacks,pastries,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Eggs,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Eggs,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fruits and vegetables,vegetables,France,FrBeNeLux
3.27E+12,Fruits and vegetables,vegetables,France,FrBeNeLux
3.27E+12,Fruits and vegetables,vegetables,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Fat and sauces,Fats,France,FrBeNeLux
3.27E+12,Fat and sauces,Fats,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Ice cream,France,FrBeNeLux
3.27E+12,Milk and dairy products,Ice cream,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Bread,France,FrBeNeLux
3.27E+12,Sugary snacks,pastries,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Fish and seafood,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Meat,France,FrBeNeLux
3.27E+12,Fat and sauces,Fats,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Beverages,Fruit juices,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Dairy desserts,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Fruits and vegetables,vegetables,Spain,SouthEU
3.27E+12,Fish Meat Eggs,Fish and seafood,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Vegetables,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Fruits,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Composite foods,Pizza pies and quiche,France,FrBeNeLux
3.27E+12,Milk and dairy products,Dairy desserts,France,FrBeNeLux
3.27E+12,Milk and dairy products,Dairy desserts,France,FrBeNeLux
3.27E+12,Milk and dairy products,Dairy desserts,France,FrBeNeLux
3.27E+12,Milk and dairy products,Dairy desserts,France,FrBeNeLux
3.27E+12,Milk and dairy products,Dairy desserts,France,FrBeNeLux
3.27E+12,Milk and dairy products,Ice cream,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Fruits,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Meat,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Salty snacks,Appetizers,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Salty snacks,Nuts,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Salty snacks,Nuts,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Salty snacks,Appetizers,France,FrBeNeLux
3.27E+12,Salty snacks,Appetizers,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Salty snacks,Nuts,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,Belgium,FrBeNeLux
3.27E+12,Salty snacks,Nuts,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Salty snacks,Nuts,France,FrBeNeLux
3.27E+12,Salty snacks,Nuts,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Fruits and vegetables,Dried fruits,France,FrBeNeLux
3.27E+12,Salty snacks,Nuts,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Beverages,Non-sugared beverages,France,FrBeNeLux
3.27E+12,Beverages,Non-sugared beverages,France,FrBeNeLux
3.26E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Bread,France,FrBeNeLux
3.27E+12,Salty snacks,Appetizers,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Milk and dairy products,Dairy desserts,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Salty snacks,Nuts,France,FrBeNeLux
3.27E+12,Sugary snacks,Biscuits and cakes,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,Guadeloupe,CaribSAme
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.26E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,French Guiana,CaribSAme
3.27E+12,Fat and sauces,Fats,France,FrBeNeLux
3.27E+12,Fat and sauces,Fats,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.27E+12,Milk and dairy products,Milk and yogurt,France,FrBeNeLux
3.26E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Fruit juices,France,FrBeNeLux
3.27E+12,Beverages,Fruit juices,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Non-sugared beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Artificially sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Sweetened beverages,France,FrBeNeLux
3.27E+12,Beverages,Fruit juices,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,Germany,Germans
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Alcoholic beverages,Alcoholic beverages,France,FrBeNeLux
3.27E+12,Sugary snacks,Sweets,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,Belgium,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,Denmark,NorthEU
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,Saint Pierre and Miquelon,CaUS
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,Switzerland,Germans
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Milk and dairy products,Cheese,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Processed meat,France,FrBeNeLux
3.27E+12,Composite foods,One-dish meals,France,FrBeNeLux
3.27E+12,Fat and sauces,Dressings and sauces,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Eggs,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Eggs,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Eggs,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Eggs,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Eggs,France,FrBeNeLux
3.27E+12,Fish Meat Eggs,Eggs,France,FrBeNeLux
3.27E+12,Sugary snacks,Chocolate products,France,FrBeNeLux
3.27E+12,Sugary snacks,Chocolate products,France,FrBeNeLux
3.27E+12,Sugary snacks,Chocolate products,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Cereals,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Breakfast cereals,France,FrBeNeLux
3.27E+12,Cereals and potatoes,Breakfast cereals,Spain,SouthEU
3.27E+12,Cereals and potatoes,Breakfast cereals,Spain,SouthEU
3.27E+12,Cereals and potatoes,Breakfast cereals,Spain,SouthEU
