additives_n,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g
4,1211,5,0.6,49,5,3,10,1.0668,0.42
5,1083,3.8,0.44,43,7.2,6,9.6,1.1303,0.445
4,1292,6.8,0.8,52,4.8,3,7.8,1.28,0.503937008
5,1262,6,0.8,52,6,2.5,8,1.12,0.440944882
0,1246,8.5,0.6,42.4,5,4,10.5,0.9398,0.37
3,1322,0.7,0.2,72,43.4,2.9,2.9,1.2192,0.48
5,1726,8,3,70,7,4.5,12,1.27,0.5
0,1161,5,0.5,47,6,3,9,1.19,0.468503937
0,1101,2,0.2,51,3.5,3,8,1.42,0.559055118
0,1076,4,0.4,43,7,5.5,9,1.15,0.452755906
0,1147,4.5,0.4,48,7,2.5,8.5,1.15,0.452755906
4,1248,7,0.9,50,11,2.5,7,1.08,0.42519685
1,1217,5.8,0.9,49,5.8,2,9,1.08,0.42519685
0,1130,3,0.3,51,9,2,8,1.1,0.433070866
1,1581,10,6.5,64,30,,6.5,1.91,0.751968504
0,392,0.6,0.2,14.3,0.5,,5,1,0.393700787
0,472,1.8,0.3,13.6,0.5,,6.6,0.78,0.307086614
,433,0.5,0.2,13.7,0.6,,7.5,0.43,0.169291339
0,1399,1.2,0.2,50.4,1,11.2,24,0.059944,0.0236
5,935,17,12,4.5,4.5,,13.5,2.4,0.94488189
5,969,17,,7,,,13,,
5,935,17,,4.5,,,13.5,,
7,501,5.5,4,15.4,13.2,0.7,1.6,0.0762,0.03
10,847,9.4,7.59,26.76,22.06,0.18,2.17,0.180086,0.0709
10,920,10.38,7.78,29.07,24.81,0.37,2.59,0.1666,0.065590551
13,575,3.4,2.3,24.5,17.6,1.3,1,0.0762,0.03
12,733,7.7,5.5,24.2,17.3,0.8,1.8,0.127,0.05
7,754,9.4,6.6,21.2,15.3,1.1,2,0.127,0.05
9,755,8.5,6.1,23.2,16.8,1.1,1.9,0.1016,0.04
6,568,5.6,3.5,19.6,14.3,0.2,1.6,0.0254,0.01
3,482,5.2,3.2,14.5,10.8,1.4,1.7,0.1016,0.04
10,536,3.1,2.1,23.1,17.3,0.6,0.8,0.03,0.011811024
2,567,9.3,2.3,7.1,4.1,0.9,5.6,0.7874,0.31
7,840,5.1,2.1,28.5,2.2,1.5,9.1,1.3716,0.54
8,715,7.5,5.5,23,14.3,0.6,1.9,0.08001,0.0315
4,930,6.7,2.1,27.9,5.8,1.5,11.6,1.2,0.472440945
,314,0.9,0.6,11.1,10.1,,4.1,0.16,0.062992126
3,,2.7,,,,0.04,3.4,0.254,0.1
6,424,2.9,2,13.6,13.1,,5,0.1,0.039370079
1,586,9.5,6.7,4.5,4.5,,9.3,0.08,0.031496063
0,302,1.04,0.64,12,12,,3.52,0.12,0.0472
2,404,2,1.4,12.6,12.2,0.4,6.6,0.102,0.04
4,518,4.3,2.9,16.6,16.5,,4.4,0.16,0.062992126
,456,3,1.9,17.5,14.8,,2.8,0.13,0.051181102
0,381,3.9,2.5,2.3,2.2,,11.7,0.5,0.196850394
0,402,2.9,2,13.6,13.2,0.1,3.6,0.127,0.05
8,511,4.3,2.6,16.4,12.5,0.2,4.3,0.14224,0.056
1,561,10.2,7.1,3.7,3.7,,6.9,0.09,0.035433071
0,299,1.6,1.1,10.5,10.5,0,2.8,0.1016,0.04
3,121,0.1,0.03,3.3,3.3,0,2.8,0.1016,0.04
3,453,3,2,17.1,14.4,,3,0.13,0.051181102
3,535,3.7,2.3,19,16.5,,3.7,0.19,0.07480315
3,547,4.3,2.9,19.2,17.1,,3.5,0.13,0.051181102
0,489,10,7,3.9,3.9,,3.1,0.11,0.043307087
5,428,2.9,2,13.6,12.7,0.3,5.1,0.1016,0.04
0,318,3.5,1.8,6.6,6.6,0,4.5,0.1524,0.06
6,538,3,2,22.3,18.9,,2.8,0.13,0.051181102
5,402,2.9,2,13.7,13.3,,3.6,0.12,0.047244094
6,580,4.3,2.8,21.1,17.3,0.3,3.5,0.1524,0.06
2,515,3,2,20,17.6,,3.3,0.15,0.059055118
4,396,2.2,1.5,12.3,11.9,,6.2,0.09,0.035433071
2,328,1.7,1.1,12.6,12.4,0.2,2.9,0.1016,0.04
3,247,0.11,0.05,9.3,8.8,0.44,4.8,0.1778,0.07
0,303,3,2.1,4.4,4.4,,6.9,0.11,0.043307087
0,299,1.6,1.1,10.5,10.5,,2.8,0.1,0.039370079
2,535,3.7,2.3,19,16.5,,3.7,0.19,0.07480315
2,494,2.7,,19.7,,,3.5,,
0,204,0.1,0.06,4.5,4.5,0,7.3,0.127,0.05
3,562,4.2,2.8,20.4,18.2,,3.3,0.14,0.05511811
3,562,4.2,2.8,20.4,18.2,0.5,3.3,0.1016,0.04
3,515,3,2,20,17.6,1,3.3,0.1524,0.06
1,364,3.9,2.7,3.8,3.8,0,9.1,0.0762,0.03
5,624,3.7,2.4,24.2,20.8,1,4,0.1524,0.06
0,475,8,5.6,4.2,4.2,,6.3,0.1,0.039370079
0,323,3.4,2.3,3.9,3.9,0,7.7,0.1016,0.04
3,486,4.4,2.3,14.3,13.1,2.3,3.6,0.127,0.05
0,399,3.1,2,13.1,13.1,,3.6,0.13,0.051181102
0,258,3.4,2.2,4.4,4.4,,3.4,0.13,0.051181102
,318,3.52,1.84,6.64,6.64,0,4.48,0.163,0.064
6,510,2.5,1.6,21.5,18.9,,2.8,0.16,0.062992126
0,175,0.1,0.04,5.8,5.8,0,4.3,0.1524,0.06
3,453,3,2,17.1,14.5,,3,0.14,0.05511811
0,217,1,0.6,6.9,6.9,0,3.7,0.127,0.05
0,217,1,0.6,6.9,6.9,0,3.7,0.127,0.05
0,217,1,0.6,6.9,6.9,0,3.7,0.127,0.05
2,400,2,1.4,12.5,12.1,0.2,6.6,0.0762,0.03
3,490,3.7,2.3,16.1,15.2,0,3.7,0.130048,0.0512
5,397,3.2,2.2,12.9,12.6,0.2,3.5,0.1524,0.06
0,258,3.4,2.2,4.4,4.4,0,3.4,0.127,0.05
0,318,3.5,2.4,6.1,6.1,0,4.5,0.1524,0.06
0,319,3.52,1.84,6.64,6.64,0,4.48,0.163,0.064
,,,,,,0.137,,,
0,175,0.1,0.04,5.6,5.6,,4.5,0.16,0.062992126
,393,2.9,2,13.2,12.9,0.2,3.6,0.127,0.05
4,826,9.7,6.5,23.5,22.5,1.2,3.4,0.127,0.05
0,496,10,6.3,3.6,3.6,0,3.8,0.1016,0.04
2,400,2,1.4,12.5,12.1,0.2,6.6,0.0762,0.03
3,548,3.4,2.3,20.7,18.2,1.1,3.6,0.1524,0.06
3,648,6.9,4.6,18.1,17.6,0.2,4.9,0.127,0.05
5,499,4.1,2.7,16.2,15.8,0.3,4.1,0.1016,0.04
,,,,,,0.122,,,
2,402,3,2.1,12.3,11.8,0.05,4.9,0.1524,0.06
0,399,3.1,2,13.1,13.1,,3.6,0.13,0.051181102
0,320,3.1,2,5.6,5.6,0,6.5,0.1524,0.06
1,316,0.05,0.04,11.8,11.6,,2.7,0.1016,0.04
,765,9.7,6.5,20.5,19.2,,3.4,0.13,0.051181102
5,210,0.5,0.1,6.6,6.1,,4.3,0.16,0.062992126
0,399,3.1,2,13.1,13.1,0,3.6,0.127,0.05
1,561,10.3,6.9,3.8,3.7,0,6.9,0.0762,0.03
0,489,10,7,3.9,3.9,,3.1,0.11,0.043307087
0,289,3.44,2.32,5.44,5.44,,4.08,0.12,0.0472
2,180,0.4,0.3,5.5,5.5,0,4.2,0.1524,0.06
5,656,7.5,5.2,19,17.1,,2.9,0.18,0.070866142
2,621,7,4.9,18.3,16.1,,2.9,0.11,0.043307087
6,407,3.3,2.3,13.2,12.9,,3.5,0.14,0.05511811
4,412,2.9,1.9,14,13.1,,3.9,0.13,0.051181102
,,,,,,0.158,,,
1,102,3.3,2.3,14.8,14,0.3,3,0.1778,0.07
7,612,7,4.9,17.7,16,,3,0.23,0.090551181
0,258,3.4,2.2,4.4,4.4,,3.4,0.13,0.051181102
,,,,,,0.156,,,
,,,,,,0.158,,,
0,258,3.4,2.2,4.4,4.4,,3.4,0.13,0.051181102
0,201,0.1,0.06,4.5,4.5,0,7.3,0.127,0.05
,,,,,,0.12,,,
6,214,0.08,0.05,7.4,7.1,0.49,4.8,0.1778,0.07
2,325,1.5,1,12.4,12.2,0,2.6,0.1,0.039370079
3,121,0.1,0.03,3.3,3.3,0,2.8,0.1016,0.04
0,299,1.6,1.1,10.5,10.5,,2.8,0.1,0.039370079
2,423,2.4,1.7,12.1,11.7,,7.3,0.119888,0.0472
2,414,2.4,1.6,12,11.5,,7.3,0.1,0.039370079
0,318,2.9,2.1,3.4,3.4,,9,0.100076,0.0394
3,350,0.1,0.1,12.2,11.7,,8.1,0.150114,0.0591
2,399,2.4,1.7,10.7,10.3,,7.3,0.1,0.039370079
2,331,0.1,0.09,11.6,10.9,,7.9,0.100076,0.0394
2,345,0.1,0.1,12.1,11.5,,7.9,0.08,0.031496063
4,381,0.9,0.6,14.3,12.8,,4.7,0.17,0.066929134
4,317,0.9,0.6,11.5,10.1,,4.1,0.17,0.066929134
5,362,0.9,0.6,15,12,,3.8,0.22,0.086614173
5,309,0.9,0.6,12.9,10,,3.3,0.14,0.05511811
0,192,1,0.6,5.3,5.3,,4,0.15,0.059055118
0,195,1,0.6,5.3,5.3,,4,0.15,0.059055118
0,195,1,0.6,5.3,5.3,,4,0.15,0.059055118
3,,3,2,,,,,,
3,453,3,2,17.1,14.5,,3,0.13,0.051181102
2,516,3,2,20,17.5,,3.3,0.18,0.070866142
6,234,0.1,0.05,8.5,8.3,,5,0.25,0.098425197
,241,0.09,0.05,9,8.7,,4.8,0.19,0.07480315
11,239,0.09,0.05,9.1,8.8,,4.7,0.2,0.078740157
4,561,4,2.7,20.6,18.5,,3.4,0.27,0.106299213
3,538,4.3,2.9,18.7,16.5,,3.5,0.12,0.047244094
0,399,3.1,2,13.1,13.1,,3.6,0.130048,0.0512
0,399,3.1,2,13.1,13.1,,3.6,0.13,0.051181102
3,383,2.4,1.6,9.9,9.4,,7.3,0.381,0.15
4,398,2.2,1.5,12.4,11.9,,6.2,0.09,0.035433071
4,396,2.2,1.5,12.3,11.9,,6.2,0.2286,0.09
0,310,3.5,2.4,6.1,6.1,4.5,0.15,,
0,310,3.5,2.4,6.1,6.1,,4.5,0.15,0.059055118
0,310,3.5,2.4,6.1,6.1,,4.5,0.15,0.059055118
4,412,3.4,2.3,13.3,12.8,0,3.5,0.189992,0.0748
4,411,3.3,2.3,13.4,13.2,,3.5,0.13,0.051181102
4,413,3.4,2.3,13.3,13.2,,3.5,0.13,0.051181102
4,407,3.3,2.3,12.9,12.5,,3.5,0.13,0.051181102
4,396,3.3,2.3,12.6,12.4,,3.4,0.13,0.051181102
5,405,3.4,2.3,12.8,12.6,,3.5,0.14,0.05511811
13,710,8.6,5.3,19.7,15,,3.3,0.2794,0.11
0,419,0.7,0.2,15,11.2,3.7,6.5,0.12,0.047244094
3,335,0.2,0.1,11.6,11.3,,7.9,0.1,0.039370079
,,,,,,0.133,,,
,,,,,,0.134,,,
3,348,0.2,0.1,12.1,11.4,,7.9,0.1,0.039370079
4,419,2.4,1.6,12,11.5,,7.3,0.100076,0.0394
3,399,2.4,1.7,10.7,10.3,,7.3,0.1,0.039370079
3,618,5.9,4.1,19.9,17.9,,3.1,0.22,0.086614173
3,547,5.6,3.9,16.6,14.9,,3.2,0.16,0.062992126
4,422,3.5,2.3,13.3,12.8,0,3.5,0.381,0.15
3,622,8,5.2,16.4,15.9,,2.7,0.15,0.059055118
1,570,7.9,5.1,13.3,12.5,,2.8,0.1,0.039370079
,572,7.8,5.1,13.5,12.8,,2.8,0.15,0.059055118
3,600,8.5,5.5,13.6,13.2,,2.9,0.14,0.05511811
,610,9,5.9,13.3,12.9,,3,0.13,0.051181102
0,613,8.5,5.5,14.7,14.1,,2.8,0.1,0.039370079
5,213,0.1,0.07,3.7,3.2,,8.6,0.21,0.082677165
5,259,0.1,0.07,6.9,6.3,,8.2,0.19,0.07480315
6,234,0.1,0.06,5.7,5.5,,8.1,0.09,0.035433071
0,226,0.1,0.07,3.4,3.4,,9.8,0.1,0.039370079
8,243,0.1,0.06,5.5,5,,8.5,0.1,0.039370079
5,238,0.1,0.06,5.8,5.4,,8.1,0.13,0.051181102
5,390,2.4,1.6,10.3,9.9,,7.3,0.08,0.031496063
4,411,2.4,1.6,11.7,11,,7.3,0.12,0.047244094
3,410,2.4,1.6,11.6,10.9,,7.3,0.1,0.039370079
5,432,3.3,2.3,15.1,14.3,,3,0.15,0.059055118
0,258,3.4,2.2,4.4,4.4,,3.4,0.12,0.047244094
0,258,3.4,2.2,4.4,4.4,,3.4,0.12,0.047244094
13,693,4.6,3,27,24.7,,3.3,0.23,0.090551181
5,615,4.2,2.7,22.9,19.2,,3.6,0.23,0.090551181
5,285,0.7,0.5,12.3,12.2,,2.3,0.1,0.039370079
6,178,0.1,0.04,6.5,5.8,,3.7,0.14,0.05511811
0,399,3.1,2,13.1,13.1,0,3.6,0.13,0.051181102
5,554,5.6,3.9,17,15.4,,3.2,0.15,0.059055118
3,350,0.1,0.1,12.2,11.7,,8.1,0.15,0.059055118
2,406,2.5,1.8,10.6,10,,7.8,0.09,0.035433071
4,385,2.9,2,13.4,12.4,,3,0.11,0.043307087
5,389,2.9,2,13.5,12.5,,3,0.11,0.043307087
5,390,2.9,2,13.6,12.5,0,3,0.11,0.043307087
3,400,2.9,1.9,13.8,13.4,,3.4,0.13,0.051181102
2,489,2.8,1.9,18.7,17.3,,3.7,0.15,0.059055118
,,,,,,0.158,,,
3,1422,2.3,0.6,71,43,,4.6,1,0.393700787
3,1414,2.2,0.53,71,44,,4.6,1,0.393700787
2,473,5.8,3.7,11,2,,4.2,0.77,0.303149606
1,520,8.3,5,8.7,3.6,3.4,2.2,0.6,0.236220472
2,2104,53,23,2,1.6,,6.4,1.1,0.433070866
2,2104,53,23,2,1.6,,6.4,1.1,0.433070866
2,2104,53,23,2,1.6,,6.4,1.1,0.433070866
1,2104,53,23,2,1.6,,6.4,1.1,0.433070866
2,2104,53,23,2,1.6,,6.4,1.1,0.433070866
2,2104,53,23,2,1.6,,6.4,1.1,0.433070866
2,1825,45,18,2.3,2.1,,7.1,1.1,0.433070866
2,2104,53,23,2,1.6,,6.4,1.1,0.433070866
0,791,11,2.8,0.6,0.6,,22,2.9972,1.18
0,791,11.7,2.8,0.6,,,22,,
1,791,11,2.8,0.6,0.6,,22,2.032,0.8
0,828,12,2.5,0.6,0.6,,22,2.9,1.141732283
0,828,12,2.5,0.6,0.6,,22,2.8956,1.14
0,828,12,2.5,0.6,0.6,,22,2.9,1.141732283
0,791,11,2.8,0.6,,,22,,
0,791,11,2.8,0.6,,,22,,
0,828,12,2.5,0.6,0.6,0,22,2.8956,1.14
0,828,12,2.5,0.6,0.6,,22,2.89814,1.141
0,515,2.6,0.6,0.8,0.8,,24,2.9,1.141732283
0,533,3,0.9,0.8,0.8,,24,2.9972,1.18
0,524,3,0.65,0.3,0.3,0.4,24,3.048,1.2
0,518,2.6,0.6,0.8,0.8,,24,2.8956,1.14
0,791,11,2.8,0.6,,,22,,
0,791,11,2.8,0.6,,,22,,
0,791,11,2.8,0.6,,,22,,
0,791,11,2.8,0.6,0.6,,22,3,1.181102362
1,828,12,2.5,0.6,0.6,,22,2,0.787401575
0,791,11,2.8,0.6,,,22,,
0,828,12,2.5,0.6,0.6,,22,2.8956,1.14
1,2133,25.2,16.9,63.5,27.6,1.8,5.4,0.7874,0.31
1,2133,25.2,16.9,63.5,27.6,1.8,5.4,0.7874,0.31
1,2281,31.5,19.7,58.3,58.1,0.4,7.1,0.254,0.1
0,2442,44.9,26.6,30.7,26.4,15.3,8,0.0254,0.01
1,2401,41.7,16.5,36.2,31.3,11.8,8.7,0.0254,0.01
0,238,1.7,1,7,5.2,0.3,3.5,0.13,0.051181102
1,2320,37.8,22.3,38.6,34.4,14.8,7.7,0.0254,0.01
0,239,1.8,,6.8,,,3.5,,
,142,0,0,9.2,8.7,0.3,0.2,0.0508,0.02
0,78,0,0,4.5,4.1,0,0.1,0.0254,0.01
1,185,0,0,10.4,10,0.4,0.3,0.03,0.011811024
1,2310,38.6,24.3,39.6,33.1,10.1,7.5,0,0
1,184,0.5,0,7.7,2.2,1,1.7,0.7,0.275590551
3,1968,17.4,10,71.3,66.6,2.3,2.8,0.1778,0.07
1,2188,29.8,17.5,51.7,48.5,10.5,6.7,0.254,0.1
4,2110,25,15.6,62,49.9,2.3,6.6,0.7,0.275590551
3,1663,2.5,1.3,81.8,46,3.5,9,0.08,0.031496063
4,873,5,0.4,29.6,3.7,1.2,10.3,51.1,20.11811024
4,1588,4.6,1.4,75.1,68.9,6.6,8.1,0.5588,0.22
2,118,0.4,0,4.8,0.8,0.6,0.9,0.6,0.236220472
4,254,3.2,0.6,5.6,1.9,1.6,1.6,1.524,0.6
0,477,2.2,1.3,20.7,13,,2.4,0.13,0.051181102
1,2280,33.2,12.9,52.9,51.7,3.7,7.2,,
2,889,4.2,0.8,32.3,3.3,1.6,10.3,49.3,19.40944882
3,153,0.7,0.7,6.2,4.6,0.4,0.9,0.08001,0.0315
0,1372,8,5.2,56,56,0,7.3,0.4318,0.17
0,1360,8,5.1,55.9,55.9,0,7.4,0.254,0.1
4,423,2.5,0.767,15,6.73,1.23,3.9,0.779,0.307
4,406,0.903,0.0645,17.9,2.71,0.806,3.68,0.77,0.303
3,1634,1.8,0.2,81.6,29.5,3.4,9,0.1016,0.04
1,1645,4.5,1.8,75.7,28.7,6.3,8.2,0.381,0.15
3,1636,4.1,1.7,76.1,25.2,6.2,8.1,0.508,0.2
,1647,2,0.5,81.2,30,2.8,10,0.1016,0.04
3,1641,1.7,0.2,82.5,33.2,2.8,9,0.1016,0.04
3,391,3.1,1.9,13,9.3,0.5,3,0.127,0.05
4,296,1.8,1,9.8,9.5,0.4,3.6,0.139954,0.0551
1,352,2.3,1.3,11.4,11,0.9,3.9,0.13,0.051181102
4,1601,3,1.5,79.6,75.6,6.5,5,0.4064,0.16
4,1601,3,1.5,79.6,75.6,6.5,5,0.4064,0.16
2,1620,8.4,4.8,62.5,3.1,5.5,11.9,2.794,1.1
1,1619,3.1,1.2,81.2,78.1,6.5,4.2,0.5334,0.21
3,1775,16,10,51.2,38.1,8.7,14.5,1.651,0.65
3,122,0.15,0.05,5.7,0.85,0.8,0.8,0.8,0.315
3,1670,8,7,70,56,4,9,0.762,0.3
2,659,0.2,0.1,18.7,18.7,34.7,3.3,0.254,0.1
2,383,0.2,0.1,18.7,18.7,34.7,3.3,0.4826,0.19
0,484,0.2,0.1,3.1,3.1,34.1,7.8,0.254,0.1
0,484,0.2,0.1,3.1,3.1,34.1,7.8,0.762,0.3
0,484,0.2,,3.1,,,7.8,,
,484,0.2,,3.1,,,7.8,,
0,484,0.2,0.1,3.1,3.1,34.1,7.8,0.254,0.1
2,1702,12.9,11.7,56.2,30.9,4.8,13.5,3.302,1.3
4,1528,4.8,2.5,67.4,7.6,6.6,8.9,3.048,1.2
4,1508,4.2,2.4,70,2.9,5.9,6.8,2.54,1
1,324,2.2,0.2,11,4,0.8,2.9,0.0762,0.03
4,748,7.8,,14.9,,,12,,
3,24,0.1,,0.9,,,0.3,,
1,352,8.6,,59.6,,,8.3,,
1,1508,8,,60,,,10.9,,
4,961,7.6,,31.5,,,8.5,,
4,9.6,0.04,,0.36,,,0.08,,
2,831,4.3,0.4,28.1,3.4,1.7,10.5,52.3,20.59055118
3,1002,10.8,5.9,26.1,8.6,0.6,9.2,52.578,20.7
2,289,0,,6.4,,,10.6,19.812,7.8
2,140,0.76,0.36,5.2,0.92,0.44,1.2,0.72,0.283
2,289,0,,6.4,,,10.6,19.812,7.8
3,1470,0.9,0.7,74.3,2.9,6.6,7.1,0.127,0.05
2,693,2.1,0.2,30.7,3.2,1.6,4.8,60.706,23.9
3,262,0.591,0.364,11.9,1.77,0.955,1.95,0.0462,0.0182
3,1527,3.8,2.2,70.5,7.3,6,9.2,0.15,0.059055118
4,1549,4,2,70.3,7.3,5.8,9.4,0.127,0.05
,1470,0.9,0.7,74.3,2.9,6.6,7.1,0.127,0.05
3,1434,4.3,1,61.1,4,4.8,11.5,10.668,4.2
2,1410,1.9,0.2,64.9,12,6.1,12,8.89,3.5
1,67,0.2,0,3,0.6,0.4,0.6,0.65,0.255905512
2,1421,2.8,0.3,63.3,10.6,5,11.9,11.176,4.4
0,60,0.2,0,2.4,0.4,0.3,0.5,0.7,0.275590551
,1493,5.1,1.4,66.3,10.1,3.6,8.6,9.0932,3.58
3,1010,11.3,5.9,26.7,8.5,0.5,7.9,51,20.07874016
1,696,1.8,0.2,30.6,12,6.3,2.5,54.1,21.2992126
0,115,0.4,0.1,4.6,0.8,0.5,1.2,0.6,0.236220472
1,71,0.2,0,2.7,0.6,0.6,0.9,0.7,0.275590551
3,1508,4.2,2.4,70,2.9,5.9,6.8,2.54,1
2,158,0.4,0.1,6.8,1.9,0.9,1.2,0.79,0.311023622
2,1547,1.9,0.2,74.3,4.6,2.9,11.2,4.064,1.6
4,1581,3.2,0.7,74.6,5.9,2.4,10.4,10.16,4
1,276,0.2,0.1,14.5,12.6,1.9,0.4,0.0508,0.02
4,1508,4.2,2.4,70,2.9,5.9,6.8,2.54,1
,1665,7.9,4.2,70.4,65.8,9.1,6.8,0.127,0.05
0,1584,3.3,0.4,74.1,3.6,2.3,10.8,4.064,1.6
5,188,0.5,0.1,5,2.5,0.5,6,21.0058,8.27
0,1568,2.1,1.2,79,68,6.4,5.7,0.06,0.023622047
,1633,2.9,1.7,79.3,77.5,8.1,6.6,0.100076,0.0394
0,1580,2,,88.5,,9.5,5.1,,
0,1589,2.1,1.2,82,78,6.2,4.6,0.23,0.090551181
0,90,0.5,0.5,4.5,1,,0.5,93.726,36.9
0,90,0.5,,4.5,,,0.5,91.694,36.1
6,145,0.9,0.5,5.8,1.7,0.2,0.7,0.9,0.354330709
6,273,2.8,1.4,8.7,1.7,0.5,1.1,0.95,0.374015748
4,124,0.3,0.05,5.7,1.3,0.5,0.9,0.92,0.362204724
2,720,10,0.5,9,6,0,7,5.0038,1.97
4,1500,35,2.5,4.5,0.5,,5,4.191,1.65
0,62,0.5,0.1,1.3,0.5,,1,2.3,0.905511811
5,740,17,1.2,5.6,2.5,,0.8,2.2,0.866141732
,765,17,1.2,7.3,3.9,,0.7,2.5,0.984251969
,161,0.3,,7.4,,,1.4,,
0,160,1.5,0.2,4.6,2.9,1.2,1,0.73,0.287401575
1,157,1.8,1.1,4.4,1.3,0.4,0.7,1.905,0.75
1,176,2,1.1,5.3,2.4,1,0.7,0.7874,0.31
0,126,0.7,0.4,4.6,0.9,0.6,1,0.65,0.255905512
0,197,2.5,1.1,4.8,0.8,0.7,1,1.905,0.75
0,163,0.7,0.4,7.2,3.1,0.5,0.6,0.73,0.287401575
1,155,1.2,0.4,4.8,1.4,1.7,0.9,1.778,0.7
3,140,1,0.2,3.4,0.8,0.1,2.6,0.8,0.31496063
0,157,1.8,1.1,4.4,1.3,0.4,0.7,0.7493,0.295
0,147,1.7,0.8,3.8,2.4,0.7,0.8,0.71882,0.283
1,147,1.7,0.8,3.8,2.4,0.7,0.8,0.7366,0.29
0,225,2.8,0.9,5.2,2.1,1.8,1.1,0.73,0.287401575
0,225,2.8,0.9,5.2,2.1,1.8,1.1,0.72898,0.287
0,167,1.4,0.8,4.6,1.3,1.6,1.4,0.7,0.275590551
0,158,1.2,0.7,5.4,2.2,1,0.8,0.7493,0.295
0,167,1.4,0.8,4.6,1.3,1.6,1.4,0.70104,0.276
0,151,1.2,0.7,5.4,2.2,1,0.9,0.7874,0.31
0,225,2.8,0.9,5.2,2.1,1.8,1.1,0.73,0.287401575
0,167,1.4,0.8,4.6,1.3,1.6,1.4,0.70104,0.276
1,154,0.92,0.32,5.52,2.4,1.32,1,0.8,0.315
1,142,1,0.5,4.6,1.4,1.2,1,1.9558,0.77
1,129,1,0.6,3.8,1.8,1.3,1,0.88,0.346456693
0,217,2,1.1,4.9,1.2,2.4,2.4,0.72,0.283464567
1,108,0.7,0.1,3,0.9,0.9,1.4,0.8001,0.315
1,242,3.32,2,5,1,1,1.6,0.8,0.315
1,242,3.3,2,5,1,1,1.6,0.77978,0.307
1,147,1.7,0.8,3.8,2.4,0.7,0.8,0.7366,0.29
0,166,1.6,1,4.6,2.4,1.6,0.9,0.77978,0.307
0,167,1.6,1,4.6,2.4,1.6,0.9,0.7874,0.31
3,94,0.5,0.2,3.7,0.5,0.7,0.7,0.9144,0.36
1,139,1,0.4,4.6,1.4,1.1,0.9,0.76962,0.303
1,237,3.3,1.8,5,1.4,1,1.3,0.75,0.295275591
1,219,3.6,1.6,4.1,0.6,0.5,0.7,0.76962,0.303
,112,0.5,0.1,4.7,1.1,1,0.7,0.6,0.236220472
0,148,0.8,0.2,6.3,2.8,0.8,0.7,0.58,0.228346457
3,272,2.9,1,7,1.8,0.4,2.5,1.8,0.708661417
1,129,1,0.3,4.2,1.7,1.3,1.2,0.8128,0.32
1,164,1.8,1.1,4.6,0.7,0.7,0.8,0.7112,0.28
0,107,1.3,0.2,2.6,2.2,0.8,0.5,0.75,0.295275591
1,191,2.7,1.5,4,1.2,1.2,0.8,0.7493,0.295
0,280,4.4,2.6,5.6,2.8,1,0.8,0.72,0.283464567
4,190,2.4,1.3,4.2,0.9,1,1.3,0.7,0.275590551
4,190,2.4,1.3,4.2,0.9,1,1.3,1.778,0.7
4,164,1.6,0.8,4.9,2.2,0.8,0.9,0.75,0.295275591
4,164,1.6,0.8,4.9,2.2,0.8,0.9,0.75,0.295275591
,297,4.8,0.8,5.2,4,1.7,1,0.75,0.295275591
1,237,3.6,2.3,4.8,2,0.8,0.9,0.60452,0.238
4,190,2.4,1.3,4.2,0.9,1,1.3,0.70104,0.276
2,428,7,0,7.5,0,0,1.6,0,0
2,183,2.5,1.2,3.2,1.3,1.7,1.3,0.762,0.3
0,192,2.1,0.7,5.5,2.5,0.9,0.8,0.75,0.295275591
0,192,2.1,0.7,5.5,2.5,0.9,0.8,0.7493,0.295
0,150,1.2,0.4,4.6,1.4,1.5,0.9,0.7,0.275590551
0,150,1.2,0.4,4.6,1.4,1.5,0.9,0.7,0.275590551
3,264,2.2,1,7,1.2,2,2.8,0.68,0.267716535
0,169,1.6,1,5,1.2,1.2,0.9,0.65,0.255905512
0,161,1.6,1,4.9,2.1,0.8,0.7,0.7,0.275590551
0,160,1.5,0.2,4.6,2.9,1.2,1,0.73,0.287401575
4,161,1.5,1,4.9,2,0.8,0.9,0.74,0.291338583
0,150,1.2,0.4,4.6,1.4,1.5,0.9,0.7,0.275590551
1,188,2.1,0.7,5.3,2.4,0.8,0.8,0.75,0.295275591
0,193,2.5,1,4.8,0.7,0.6,0.8,0.72,0.283464567
0,197,2.5,1.1,4.8,0.8,0.7,1,0.7493,0.295
0,163,0.7,0.4,7.2,3.1,0.5,0.6,0.72898,0.287
0,143,0.8,0.5,5.4,0.9,0.6,1,0.78,0.307086614
3,140,1,0.2,3.4,0.8,0.1,2.6,0.8,0.31496063
0,202,2,0.2,5.5,1.8,1.5,1.3,0.75,0.295275591
7,107,0.6,0.3,4.1,0.4,0.4,0.7,0.9144,0.36
3,153,0.7,0.4,6.7,3.3,0.4,0.6,0.7366,0.29
7,95,0.5,0.3,4.1,0.2,0.3,0.4,0.7366,0.29
0,135,1,0.6,4.4,0.5,0.5,1,0.762,0.3
6,175,2.5,1.4,4.4,0.2,0.05,0.4,0.7,0.275590551
4,185,1.9,1.2,6.3,1.8,0.05,0.3,0.74,0.291338583
7,148,1.4,0.7,4.95,0.55,0.25,0.6,0.864,0.34
